Date,Patient Residence,geolocation,State,Naloxone Prescription Count,"Naloxone Rate per 1,000 Residents",Opiate Agonist Prescription Count,"Opiate Agonist Rate per 1,000 Residents",Opiate Partial Agonist Prescription Count,"Opiate Partial Agonist Rate per 1,000 Residents",Benzodiazepine Prescription Count,"Benzodiazepine Rate per 1,000 Residents",Stimulant Prescription Count,"Stimulant Rate per 1,000 Residents",Gabapentin Prescription Count,"Gabapentin Rate per 1,000 Residents"
2022 Quarter 2,Windsor Locks,POINT (-72.62737 41.92862),CT,6,0.48,1284,101.97,260,20.65,1393,110.63,857,68.06,821,65.2
2022 Quarter 4,Salisbury,POINT (-73.42246 41.98282),CT,1,0.24,199,48.39,44,10.7,209,50.83,278,67.61,278,67.61
2023 Quarter 3,Brookfield,POINT (-73.39836 41.46765),CT,17,0.97,1411,80.43,128,7.3,1541,87.84,1844,105.11,690,39.33
2022 Quarter 2,Middlebury,POINT (-73.12099 41.5278),CT,1,0.13,639,84.33,74,9.77,704,92.91,713,94.1,327,43.16
2024 Quarter 4,East Hampton,POINT (-72.50529 41.57999),CT,14,1.08,1203,92.62,231,17.78,1275,98.16,1488,114.56,780,60.05
2023 Quarter 2,Enfield,POINT (-72.57439 41.9984),CT,49,1.17,4308,102.5,1087,25.86,4072,96.88,3091,73.54,2954,70.28
2024 Quarter 3,Waterbury,POINT (-73.04647 41.5549),CT,220,1.91,11396,99.1,2456,21.36,7960,69.22,5413,47.07,6789,59.04
2023 Quarter 4,Sprague,POINT (-72.08483 41.61708),CT,9,3.04,383,129.48,137,46.32,320,108.18,334,112.91,251,84.85
2022 Quarter 4,Bolton,POINT (-72.44233 41.79117),CT,3,0.62,494,102.51,57,11.83,410,85.08,311,64.54,311,64.54
2024 Quarter 3,Wilton,POINT (-73.42747 41.19085),CT,5,0.27,905,49.18,82,4.46,1391,75.6,2222,120.76,696,37.83
2023 Quarter 3,Killingworth,POINT (-72.56592 41.35961),CT,7,1.12,576,92.32,114,18.27,686,109.95,654,104.82,347,55.62
2023 Quarter 2,Ridgefield,POINT (-73.49866 41.2845),CT,14,0.56,1521,60.81,94,3.76,2232,89.24,2766,110.59,916,36.62
2024 Quarter 4,Seymour,POINT (-73.08051 41.39761),CT,24,1.42,2014,118.8,385,22.71,1516,89.42,1553,91.61,1035,61.05
2022 Quarter 3,Southbury,POINT (-73.22107 41.47965),CT,8,0.4,1903,96.13,133,6.72,1978,99.92,1528,77.19,1030,52.03
2022 Quarter 2,Harwinton,POINT (-73.06991 41.76965),CT,2,0.37,632,115.54,89,16.27,585,106.95,367,67.09,299,54.66
2023 Quarter 2,Newtown,POINT (-73.3087 41.41327),CT,25,0.91,2183,79.32,254,9.23,2279,82.81,2945,107.01,1316,47.82
2022 Quarter 1,Andover,POINT (-72.38047 41.74159),CT,1,0.32,310,98.44,70,22.23,300,95.27,214,67.96,202,64.15
2023 Quarter 3,Wolcott,POINT (-72.98422 41.57883),CT,16,0.99,1652,102.04,311,19.21,1868,115.38,1356,83.76,925,57.13
2023 Quarter 1,North Stonington,POINT (-71.90452 41.45301),CT,7,1.36,354,68.91,82,15.96,368,71.64,466,90.71,231,44.97
2022 Quarter 4,Enfield,POINT (-72.57439 41.9984),CT,46,1.09,4288,102.02,1081,25.72,4215,100.28,3099,73.73,3099,73.73
2022 Quarter 4,Willington,POINT (-72.30139 41.87944),CT,3,0.54,542,98.05,70,12.66,451,81.58,462,83.57,462,83.57
2024 Quarter 3,Somers,POINT (-72.44013 41.98825),CT,5,0.47,793,73.94,214,19.95,787,73.38,842,78.51,876,81.68
2023 Quarter 4,Portland,POINT (-72.63703 41.57771),CT,37,3.92,946,100.33,260,27.57,1012,107.33,1066,113.06,445,47.19
2024 Quarter 4,Norfolk,POINT (-73.19827 41.99194),CT,1,0.63,129,80.83,42,26.32,180,112.78,144,90.23,81,50.75
2024 Quarter 4,New Hartford,POINT (-72.98018 41.87938),CT,5,0.75,644,95.99,115,17.14,637,94.95,678,101.06,414,61.71
2022 Quarter 1,New Britain,POINT (-72.78215 41.66772),CT,134,1.81,7609,102.65,2221,29.96,5686,76.71,3508,47.33,4378,59.06
2024 Quarter 2,Colebrook,POINT (-73.11155 42.0129),CT,5,3.65,142,103.73,22,16.07,134,97.88,73,53.32,86,62.82
2024 Quarter 2,Danbury,POINT (-73.45359 41.39268),CT,157,1.81,5627,64.7,738,8.49,4961,57.04,5689,65.42,3293,37.86
2023 Quarter 3,Newtown,POINT (-73.3087 41.41327),CT,13,0.47,2108,76.44,272,9.86,2312,83.84,2829,102.59,1414,51.27
2024 Quarter 2,Wolcott,POINT (-72.98422 41.57883),CT,16,0.99,1677,103.58,298,18.41,1904,117.6,1519,93.82,941,58.12
2022 Quarter 3,Trumbull,POINT (-73.21967 41.23495),CT,17,0.46,2908,78.7,315,8.53,3450,93.37,3027,81.92,1524,41.24
2022 Quarter 3,Bridgeport,POINT (-73.19064 41.18213),CT,454,3.06,12830,86.49,1324,8.93,7618,51.36,4069,27.43,6267,42.25
2024 Quarter 3,Wolcott,POINT (-72.98422 41.57883),CT,17,1.04,1684,103.26,332,20.36,1903,116.68,1538,94.3,955,58.56
2023 Quarter 4,Brookfield,POINT (-73.39836 41.46765),CT,6,0.34,1488,84.82,114,6.5,1461,83.28,1906,108.65,686,39.1
2025 Quarter 1,Essex,POINT (-72.39087 41.35324),CT,4,0.59,493,72.48,128,18.82,740,108.79,625,91.88,399,58.66
2024 Quarter 3,Haddam,POINT (-72.50472 41.47439),CT,9,1.03,788,89.82,170,19.38,756,86.17,802,91.42,581,66.23
2022 Quarter 3,Lebanon,POINT (-72.20098 41.64541),CT,50,7.03,808,113.67,246,34.61,674,94.82,599,84.27,582,81.88
2023 Quarter 2,Sprague,POINT (-72.08483 41.61708),CT,8,2.71,424,143.73,176,59.66,322,109.15,311,105.42,315,106.78
2022 Quarter 2,Ansonia,POINT (-73.07875 41.34319),CT,27,1.43,2539,134.32,423,22.38,1648,87.19,1294,68.46,1159,61.32
2023 Quarter 4,Colebrook,POINT (-73.11155 42.0129),CT,4,2.92,130,94.96,14,10.23,133,97.15,70,51.13,80,58.44
2022 Quarter 4,Bristol,POINT (-72.94661 41.67574),CT,100,1.65,7541,124.31,1971,32.49,6667,109.91,4499,74.17,4499,74.17
2023 Quarter 3,Union,POINT (-72.15536 41.99378),CT,0,0,48,60.53,0,0,38,47.92,38,47.92,37,46.66
2022 Quarter 4,Madison,POINT (-72.59507 41.27973),CT,16,0.91,1227,69.64,267,15.15,2026,114.99,2159,122.54,2159,122.54
2023 Quarter 1,Morris,POINT (-73.20025 41.68339),CT,2,0.89,213,94.29,31,13.72,258,114.21,157,69.5,175,77.47
2024 Quarter 4,Harwinton,POINT (-73.06991 41.76965),CT,3,0.53,616,109.76,102,18.18,511,91.05,546,97.29,340,60.58
2023 Quarter 2,Wilton,POINT (-73.42747 41.19085),CT,9,0.49,979,53.03,54,2.93,1397,75.68,1985,107.53,623,33.75
2025 Quarter 1,New Canaan,POINT (-73.49182 41.14598),CT,4,0.19,827,39.64,68,3.26,1765,84.6,2987,143.18,864,41.42
2024 Quarter 2,Madison,POINT (-72.59507 41.27973),CT,14,0.8,1145,65.19,218,12.41,1869,106.4,2251,128.15,1026,58.41
2024 Quarter 1,Goshen,POINT (-73.23131 41.83122),CT,0,0,249,77.74,55,17.17,273,85.23,195,60.88,152,47.46
2022 Quarter 1,Putnam,POINT (-71.90959 41.91616),CT,33,3.58,960,104.13,217,23.54,903,97.95,911,98.82,700,75.93
2025 Quarter 1,Manchester,POINT (-72.52069 41.769),CT,47,0.79,4770,80.29,1172,19.73,4945,83.24,4749,79.94,3687,62.06
