Date,Patient Residence,geolocation,State,Naloxone Prescription Count,"Naloxone Rate per 1,000 Residents",Opiate Agonist Prescription Count,"Opiate Agonist Rate per 1,000 Residents",Opiate Partial Agonist Prescription Count,"Opiate Partial Agonist Rate per 1,000 Residents",Benzodiazepine Prescription Count,"Benzodiazepine Rate per 1,000 Residents",Stimulant Prescription Count,"Stimulant Rate per 1,000 Residents",Gabapentin Prescription Count,"Gabapentin Rate per 1,000 Residents"
2022 Quarter 3,Old Saybrook,POINT (-72.37706 41.29725),CT,9,0.85,1091,103.29,234,22.15,1451,137.37,1155,109.34,587,55.57
2024 Quarter 4,Franklin,POINT (-72.14672 41.61149),CT,0,0,209,110.52,39,20.62,211,111.58,217,114.75,114,60.29
2023 Quarter 3,Clinton,POINT (-72.52778 41.27864),CT,14,1.04,1536,114.64,449,33.51,1687,125.9,1482,110.61,879,65.6
2023 Quarter 3,Newington,POINT (-72.71909 41.69555),CT,27,0.89,2424,79.85,453,14.92,3017,99.39,2288,75.37,1513,49.84
2024 Quarter 2,Pomfret,POINT (-71.95854 41.89781),CT,0,0,198,45.97,37,8.59,314,72.9,461,107.04,244,56.65
2022 Quarter 2,Watertown,POINT (-73.11894 41.60552),CT,11,0.5,2258,102.25,306,13.86,2374,107.5,1523,68.97,1026,46.46
2022 Quarter 3,East Granby,POINT (-72.7294 41.94359),CT,5,0.97,459,88.61,57,11,461,89,444,85.71,276,53.28
2024 Quarter 1,Hebron,POINT (-72.35799 41.66031),CT,10,1.1,735,80.58,152,16.66,916,100.43,841,92.2,450,49.34
2022 Quarter 4,Redding,POINT (-73.38052 41.30402),CT,5,0.57,531,60.79,41,4.69,649,74.3,916,104.87,916,104.87
2023 Quarter 4,Waterford,POINT (-72.13852 41.34593),CT,23,1.17,2293,116.97,294,15,2569,131.05,2571,131.15,1369,69.84
2022 Quarter 2,East Haven,POINT (-72.87169 41.27789),CT,79,2.83,4533,162.62,1090,39.1,3611,129.55,2032,72.9,2932,105.19
2022 Quarter 4,Thomaston,POINT (-73.07407 41.67348),CT,5,0.67,934,125.32,193,25.9,875,117.4,593,79.57,593,79.57
2022 Quarter 2,Monroe,POINT (-73.20695 41.33185),CT,10,0.53,1529,81.3,199,10.58,1725,91.72,1613,85.76,758,40.3
2024 Quarter 2,Winchester,POINT (-73.06812 41.92118),CT,12,1.17,1435,140.14,314,30.66,1478,144.34,969,94.63,915,89.36
2022 Quarter 3,Wallingford,POINT (-72.81835 41.45417),CT,50,1.13,4330,97.98,1099,24.87,4896,110.78,3599,81.44,2770,62.68
2023 Quarter 3,Scotland,POINT (-72.08296 41.69848),CT,1,0.63,69,43.75,10,6.34,64,40.58,39,24.73,42,26.63
2023 Quarter 1,Wethersfield,POINT (-72.66228 41.71109),CT,18,0.66,2038,75.14,351,12.94,2631,97,2037,75.1,1227,45.24
2024 Quarter 3,Woodstock,POINT (-71.98144 41.95623),CT,7,0.84,619,74.17,117,14.02,482,57.75,673,80.64,446,53.44
2024 Quarter 4,Beacon Falls,POINT (-73.06031 41.44505),CT,5,0.81,628,101.19,155,24.98,539,86.85,603,97.16,339,54.62
2025 Quarter 1,New Milford,POINT (-73.41375 41.57871),CT,17,0.6,2419,85.55,408,14.43,2136,75.54,2766,97.82,1336,47.25
2022 Quarter 1,Orange,POINT (-73.00012 41.26807),CT,8,0.56,1469,103.05,170,11.93,1658,116.31,1035,72.61,578,40.55
2022 Quarter 2,Killingworth,POINT (-72.56592 41.35961),CT,1,0.16,528,85.53,139,22.52,656,106.27,594,96.23,324,52.49
2024 Quarter 3,Suffield,POINT (-72.65914 41.98373),CT,8,0.51,1146,73.23,181,11.57,1177,75.21,1188,75.91,1045,66.77
2024 Quarter 4,Roxbury,POINT (-73.31102 41.56218),CT,1,0.44,167,72.7,3,1.31,161,70.09,162,70.53,84,36.57
2022 Quarter 1,Salisbury,POINT (-73.42246 41.98282),CT,1,0.24,207,49.39,59,14.08,217,51.78,296,70.63,111,26.49
2022 Quarter 4,Bethany,POINT (-73.00346 41.42245),CT,6,1.13,493,93.23,64,12.1,448,84.72,555,104.95,555,104.95
2023 Quarter 3,Stratford,POINT (-73.13308 41.19875),CT,50,0.95,5168,98.48,533,10.16,4830,92.04,3321,63.28,2159,41.14
2023 Quarter 2,New Haven,POINT (-72.92432 41.30801),CT,670,4.96,11312,83.74,2564,18.98,7302,54.06,6639,49.15,7877,58.31
2024 Quarter 1,Coventry,POINT (-72.30498 41.77009),CT,11,0.9,954,77.66,252,20.51,1304,106.15,1150,93.61,740,60.24
2023 Quarter 3,Berlin,POINT (-72.74506 41.62316),CT,28,1.39,1766,87.44,369,18.27,2029,100.46,1524,75.46,1127,55.8
2022 Quarter 3,Bloomfield,POINT (-72.73487 41.82963),CT,13,0.61,1760,81.94,183,8.52,1632,75.98,859,39.99,1140,53.07
2022 Quarter 4,Kent,POINT (-73.47267 41.7267),CT,2,0.67,250,83.78,10,3.35,286,95.84,258,86.46,258,86.46
2024 Quarter 2,Weston,POINT (-73.38307 41.22438),CT,2,0.19,518,50.03,36,3.48,894,86.34,1615,155.98,294,28.39
2025 Quarter 1,Berlin,POINT (-72.74506 41.62316),CT,9,0.44,1795,87.87,401,19.63,1969,96.38,1678,82.14,1126,55.12
2024 Quarter 4,North Stonington,POINT (-71.90452 41.45301),CT,5,0.97,315,60.99,96,18.59,332,64.28,501,97,235,45.5
2023 Quarter 1,Southbury,POINT (-73.22107 41.47965),CT,16,0.81,1883,95.12,125,6.31,2006,101.33,1536,77.59,1001,50.57
2022 Quarter 1,Monroe,POINT (-73.20695 41.33185),CT,19,1.01,1497,79.59,217,11.54,1740,92.51,1609,85.55,759,40.36
2024 Quarter 2,Haddam,POINT (-72.50472 41.47439),CT,6,0.69,785,90.54,147,16.96,765,88.24,876,101.04,549,63.32
2022 Quarter 3,Bridgewater,POINT (-73.36584 41.53374),CT,0,0,132,79.61,8,4.83,150,90.47,131,79.01,48,28.95
2023 Quarter 2,Salisbury,POINT (-73.42246 41.98282),CT,3,0.73,211,51.31,49,11.92,225,54.72,285,69.31,120,29.18
2023 Quarter 4,Andover,POINT (-72.38047 41.74159),CT,1,0.32,300,95.24,24,7.62,308,97.78,251,79.68,204,64.76
2023 Quarter 4,North Haven,POINT (-72.85793 41.39345),CT,35,1.45,2309,95.75,562,23.31,2871,119.06,2322,96.29,1303,54.04
2025 Quarter 1,Eastford,POINT (-72.07648 41.90571),CT,1,0.59,153,90.59,19,11.25,114,67.5,155,91.77,101,59.8
2023 Quarter 3,Durham,POINT (-72.68039 41.47169),CT,11,1.53,527,73.12,160,22.2,664,92.13,645,89.5,381,52.87
2023 Quarter 1,Vernon,POINT (-72.44806 41.86753),CT,51,1.68,3637,119.93,754,24.86,3648,120.29,2281,75.22,2480,81.78
2024 Quarter 4,Wethersfield,POINT (-72.66228 41.71109),CT,22,0.81,1966,72.51,289,10.66,2681,98.88,2402,88.59,1280,47.21
2023 Quarter 2,Haddam,POINT (-72.50472 41.47439),CT,15,1.76,815,95.56,108,12.66,772,90.51,839,98.37,471,55.22
2022 Quarter 3,Torrington,POINT (-73.0862 41.80137),CT,123,3.48,5137,145.29,1351,38.21,5296,149.79,2923,82.67,3214,90.9
2022 Quarter 4,Newington,POINT (-72.71909 41.69555),CT,27,0.89,2597,85.53,530,17.45,3130,103.08,2178,71.73,2178,71.73
2023 Quarter 2,Stonington,POINT (-71.90642 41.33592),CT,26,1.41,2243,121.72,373,20.24,2588,140.45,2641,143.32,1617,87.75
2023 Quarter 1,New Fairfield,POINT (-73.48605 41.46578),CT,11,0.81,1116,82.39,99,7.31,1027,75.82,1186,87.56,690,50.94
2022 Quarter 1,Wallingford,POINT (-72.81835 41.45417),CT,37,0.83,4376,98.74,1063,23.99,4990,112.6,3554,80.19,2585,58.33
2024 Quarter 3,West Hartford,POINT (-72.74434 41.75922),CT,33,0.52,3388,52.96,555,8.68,5259,82.21,6880,107.55,2788,43.58
2025 Quarter 1,Cornwall,POINT (-73.32991 41.84339),CT,3,1.9,115,73.02,10,6.35,134,85.08,138,87.62,87,55.24
2023 Quarter 3,Westbrook,POINT (-72.44255 41.28353),CT,17,2.48,724,105.54,151,22.01,915,133.38,794,115.74,473,68.95
2022 Quarter 3,Guilford,POINT (-72.68142 41.28424),CT,26,1.18,1848,83.88,312,14.16,2703,122.69,2243,101.81,1108,50.29
2023 Quarter 1,Bolton,POINT (-72.44233 41.79117),CT,4,0.83,499,103.55,47,9.75,423,87.78,376,78.02,261,54.16
2024 Quarter 4,Killingworth,POINT (-72.56592 41.35961),CT,3,0.48,564,90.18,144,23.03,664,106.17,685,109.53,364,58.2
2024 Quarter 1,Chester,POINT (-72.44903 41.4023),CT,3,0.8,392,104.34,51,13.57,425,113.12,364,96.89,246,65.48
2022 Quarter 2,Pomfret,POINT (-71.95854 41.89781),CT,1,0.23,315,73.77,55,12.88,295,69.09,388,90.87,215,50.35
2023 Quarter 4,Cromwell,POINT (-72.6535 41.61653),CT,20,1.4,1543,107.77,222,15.51,1797,125.52,1252,87.45,775,54.13
2022 Quarter 1,Hamden,POINT (-72.90159 41.38428),CT,61,1,5093,83.4,768,12.58,5092,83.39,3133,51.31,2591,42.43
2022 Quarter 4,Simsbury,POINT (-72.79998 41.8805),CT,11,0.44,1449,58.41,151,6.09,2035,82.03,2372,95.62,2372,95.62
2024 Quarter 4,Durham,POINT (-72.68039 41.47169),CT,1,0.14,597,82.87,176,24.43,675,93.7,674,93.56,384,53.3
2023 Quarter 2,Cromwell,POINT (-72.6535 41.61653),CT,22,1.54,1511,105.65,258,18.04,1798,125.72,1210,84.6,823,57.54
2023 Quarter 1,Bristol,POINT (-72.94661 41.67574),CT,116,1.91,7433,122.53,1906,31.42,6733,110.99,4605,75.91,4466,73.62
2025 Quarter 1,Windham,POINT (-72.15472 41.69996),CT,86,3.61,2419,101.5,984,41.29,1949,81.78,2010,84.34,1890,79.3
2023 Quarter 1,Groton,POINT (-72.07151 41.35486),CT,53,1.38,2622,68.18,1033,26.86,2690,69.95,2568,66.78,1957,50.89
2022 Quarter 2,Franklin,POINT (-72.14672 41.61149),CT,0,0,138,74.07,39,20.93,165,88.57,141,75.68,94,50.46
2024 Quarter 1,Newington,POINT (-72.71909 41.69555),CT,39,1.28,2532,83.41,484,15.94,2819,92.86,2387,78.63,1536,50.6
2022 Quarter 2,Sharon,POINT (-73.47017 41.88513),CT,5,1.87,360,134.58,64,23.93,289,108.04,185,69.16,210,78.5
2023 Quarter 2,Pomfret,POINT (-71.95854 41.89781),CT,4,0.94,278,65.09,26,6.09,304,71.18,384,89.91,258,60.41
2023 Quarter 2,Canterbury,POINT (-71.9928 41.69798),CT,15,2.96,552,109.09,130,25.69,509,100.59,445,87.94,359,70.95
2024 Quarter 4,Colchester,POINT (-72.32694 41.5749),CT,21,1.35,1947,125.58,414,26.7,1785,115.13,1973,127.26,1044,67.34
2024 Quarter 3,Orange,POINT (-73.00012 41.26807),CT,19,1.33,1444,100.82,190,13.27,1708,119.26,1186,82.81,697,48.67
2023 Quarter 3,Groton,POINT (-72.07151 41.35486),CT,40,1.06,2544,67.4,967,25.62,2698,71.48,2710,71.8,1897,50.26
2022 Quarter 3,Putnam,POINT (-71.90959 41.91616),CT,30,3.25,919,99.6,262,28.39,935,101.33,976,105.78,766,83.02
2023 Quarter 3,Old Saybrook,POINT (-72.37706 41.29725),CT,7,0.66,970,92.07,189,17.94,1456,138.21,1208,114.67,556,52.78
2022 Quarter 1,Sprague,POINT (-72.08483 41.61708),CT,6,2.02,472,158.76,169,56.84,364,122.44,246,82.74,252,84.76
2024 Quarter 2,North Stonington,POINT (-71.90452 41.45301),CT,5,0.97,354,68.42,78,15.08,373,72.09,501,96.83,225,43.49
2023 Quarter 1,North Branford,POINT (-72.79389 41.33239),CT,21,1.56,1475,109.28,325,24.08,1722,127.57,1273,94.31,772,57.19
2024 Quarter 1,East Haven,POINT (-72.87169 41.27789),CT,67,2.42,3410,123.18,912,32.95,3827,138.25,2294,82.87,1798,64.95
2022 Quarter 3,Groton,POINT (-72.07151 41.35486),CT,34,0.88,2669,69.4,1013,26.34,2829,73.56,2588,67.3,1805,46.94
2024 Quarter 2,Beacon Falls,POINT (-73.06031 41.44505),CT,2,0.33,666,108.72,145,23.67,535,87.33,680,111,334,54.52
2025 Quarter 1,Plainville,POINT (-72.86727 41.6698),CT,19,1.09,1853,105.94,474,27.1,1837,105.03,1753,100.22,1170,66.89
2022 Quarter 1,New Canaan,POINT (-73.49182 41.14598),CT,3,0.15,897,43.53,84,4.08,1881,91.29,2597,126.04,802,38.92
2023 Quarter 4,Woodstock,POINT (-71.98144 41.95623),CT,7,0.84,512,61.6,89,10.71,532,64,663,79.76,329,39.58
2022 Quarter 1,Stafford,POINT (-72.28626 41.98679),CT,9,0.79,1265,110.38,269,23.47,1028,89.7,754,65.79,698,60.91
2022 Quarter 4,West Hartford,POINT (-72.74434 41.75922),CT,24,0.38,3416,53.4,534,8.35,5516,86.22,5913,92.43,5913,92.43
2024 Quarter 4,Trumbull,POINT (-73.21967 41.23495),CT,31,0.83,2839,76.18,383,10.28,3492,93.7,3742,100.41,1799,48.27
2023 Quarter 2,West Hartford,POINT (-72.74434 41.75922),CT,30,0.47,3398,53.12,479,7.49,5350,83.63,6078,95.01,2942,45.99
2022 Quarter 3,Litchfield,POINT (-73.18895 41.74626),CT,7,0.86,819,100.24,100,12.24,916,112.12,694,84.94,557,68.18
2023 Quarter 4,Windham,POINT (-72.15472 41.69996),CT,75,3.07,2779,113.9,894,36.64,2011,82.42,1757,72.01,2076,85.09
2023 Quarter 2,Trumbull,POINT (-73.21967 41.23495),CT,25,0.68,2861,77.43,288,7.79,3476,94.07,3201,86.63,1561,42.25
2024 Quarter 1,Middlefield,POINT (-72.71217 41.51513),CT,2,0.47,406,95.57,80,18.83,481,113.23,400,94.16,250,58.85
2022 Quarter 1,Redding,POINT (-73.38052 41.30402),CT,0,0,499,57.08,43,4.92,655,74.93,927,106.04,265,30.31
2025 Quarter 1,Madison,POINT (-72.59507 41.27973),CT,8,0.46,1199,68.52,246,14.06,1900,108.58,2428,138.76,1048,59.89
2022 Quarter 2,Lyme,POINT (-72.33474 41.42464),CT,1,0.43,123,52.3,23,9.78,135,57.4,101,42.94,66,28.06
2024 Quarter 1,Glastonbury,POINT (-72.60499 41.71227),CT,11,0.31,2109,59.92,278,7.9,3083,87.59,3467,98.5,1346,38.24
2024 Quarter 4,Monroe,POINT (-73.20695 41.33185),CT,11,0.58,1300,69.04,196,10.41,1560,82.84,1926,102.28,840,44.61
2022 Quarter 3,New Fairfield,POINT (-73.48605 41.46578),CT,10,0.74,1195,88.22,90,6.64,1048,77.37,1295,95.61,615,45.4
2023 Quarter 4,Brooklyn,POINT (-71.94964 41.78716),CT,11,1.29,780,91.74,183,21.52,721,84.8,774,91.04,550,64.69
2022 Quarter 1,Ansonia,POINT (-73.07875 41.34319),CT,46,2.43,2418,127.92,442,23.38,1648,87.19,1241,65.65,1150,60.84
2024 Quarter 2,Meriden,POINT (-72.7981 41.53653),CT,167,2.77,6641,110.24,2187,36.3,5445,90.39,4456,73.97,4181,69.4
2023 Quarter 3,New Fairfield,POINT (-73.48605 41.46578),CT,6,0.44,1078,79.64,103,7.61,1057,78.09,1244,91.9,656,48.46
2024 Quarter 3,Bethany,POINT (-73.00346 41.42245),CT,8,1.52,439,83.29,80,15.18,470,89.17,589,111.74,286,54.26
2023 Quarter 4,Guilford,POINT (-72.68142 41.28424),CT,23,1.04,1973,89.6,284,12.9,2625,119.22,2385,108.32,1129,51.27
2022 Quarter 2,Newtown,POINT (-73.3087 41.41327),CT,12,0.44,2235,82.31,265,9.76,2380,87.65,2908,107.09,1220,44.93
2023 Quarter 2,Barkhamsted,POINT (-72.98828 41.91211),CT,2,0.55,370,101.45,22,6.03,292,80.07,301,82.53,208,57.03
2025 Quarter 1,Sherman,POINT (-73.49254 41.58031),CT,1,0.28,209,59.21,16,4.53,215,60.91,355,100.57,127,35.98
2024 Quarter 2,Andover,POINT (-72.38047 41.74159),CT,4,1.27,313,99.37,48,15.24,304,96.51,287,91.11,215,68.25
2022 Quarter 4,Andover,POINT (-72.38047 41.74159),CT,2,0.64,324,103.42,48,15.32,316,100.86,203,64.79,203,64.79
2022 Quarter 4,Canaan,POINT (-73.301162 41.965661),CT,5,4.64,424,393.32,136,126.16,386,358.07,263,243.97,263,243.97
2022 Quarter 2,Trumbull,POINT (-73.21967 41.23495),CT,19,0.52,2873,78.19,351,9.55,3534,96.18,3046,82.9,1568,42.68
2022 Quarter 1,Lyme,POINT (-72.33474 41.42464),CT,4,1.7,125,53.15,28,11.9,139,59.1,95,40.39,65,27.64
2024 Quarter 3,Berlin,POINT (-72.74506 41.62316),CT,24,1.17,1705,83.46,428,20.95,1967,96.28,1645,80.52,1065,52.13
2022 Quarter 2,Durham,POINT (-72.68039 41.47169),CT,7,0.98,528,73.84,106,14.82,675,94.39,536,74.95,333,46.57
2024 Quarter 4,Redding,POINT (-73.38052 41.30402),CT,4,0.46,560,64.23,50,5.73,757,86.82,1117,128.11,373,42.78
2024 Quarter 2,East Lyme,POINT (-72.22334 41.36844),CT,14,0.75,1673,89.05,289,15.38,2180,116.03,2472,131.57,1174,62.49
2024 Quarter 4,Barkhamsted,POINT (-72.98828 41.91211),CT,4,1.09,438,119.12,24,6.53,334,90.83,403,109.6,292,79.41
2022 Quarter 2,Suffield,POINT (-72.65914 41.98373),CT,12,0.76,1221,77.65,177,11.26,1255,79.81,1202,76.44,646,41.08
2024 Quarter 2,Southbury,POINT (-73.22107 41.47965),CT,8,0.4,1843,92.25,137,6.86,1934,96.8,1852,92.7,1065,53.31
2023 Quarter 3,Haddam,POINT (-72.50472 41.47439),CT,14,1.61,777,89.62,141,16.26,796,91.81,806,92.96,551,63.55
2024 Quarter 2,Milford,POINT (-73.05721 41.2253),CT,68,1.29,5349,101.54,926,17.58,6061,115.06,5010,95.1,2890,54.86
2024 Quarter 4,Watertown,POINT (-73.11894 41.60552),CT,12,0.54,2211,99.26,414,18.59,2281,102.41,1785,80.14,1217,54.64
2022 Quarter 2,Seymour,POINT (-73.08051 41.39761),CT,16,0.96,2129,127.43,416,24.9,1631,97.62,1418,84.87,1115,66.74
2023 Quarter 4,Chaplin,POINT (-72.14367 41.75973),CT,3,1.39,267,123.84,52,24.12,231,107.14,232,107.61,158,73.28
2022 Quarter 2,Hartland,POINT (-72.90676 41.99858),CT,1,0.53,107,56.32,12,6.32,114,60,132,69.47,87,45.79
2022 Quarter 3,Prospect,POINT (-72.9779 41.50128),CT,11,1.18,1066,114.08,99,10.6,970,103.81,760,81.34,460,49.23
2022 Quarter 1,Berlin,POINT (-72.74506 41.62316),CT,16,0.79,1458,72.34,337,16.72,1826,90.6,1132,56.17,815,40.44
2023 Quarter 2,Madison,POINT (-72.59507 41.27973),CT,13,0.74,1209,68.62,261,14.81,1920,108.97,2199,124.81,979,55.57
2022 Quarter 2,Meriden,POINT (-72.7981 41.53653),CT,170,2.8,7296,120.01,2423,39.86,5791,95.26,3958,65.11,3870,63.66
2022 Quarter 1,Haddam,POINT (-72.50472 41.47439),CT,8,0.95,767,90.78,135,15.98,721,85.34,703,83.21,442,52.31
2022 Quarter 3,East Haven,POINT (-72.87169 41.27789),CT,92,3.31,3873,139.3,1032,37.12,4121,148.22,2181,78.44,1869,67.22
2022 Quarter 1,Ridgefield,POINT (-73.49866 41.2845),CT,7,0.28,1276,51.02,98,3.92,1882,75.25,2482,99.24,860,34.39
2022 Quarter 4,Beacon Falls,POINT (-73.06031 41.44505),CT,6,0.99,686,113.71,134,22.21,576,95.47,516,85.53,516,85.53
2023 Quarter 2,Norfolk,POINT (-73.19827 41.99194),CT,2,1.26,170,107.12,23,14.49,151,95.15,99,62.38,93,58.6
2022 Quarter 3,North Haven,POINT (-72.85793 41.39345),CT,29,1.2,2361,97.69,577,23.87,3085,127.64,2205,91.23,1347,55.73
2023 Quarter 1,Ashford,POINT (-72.189 41.86322),CT,6,1.43,466,111.32,43,10.27,371,88.63,350,83.61,330,78.83
2022 Quarter 2,North Haven,POINT (-72.85793 41.39345),CT,3,0.58,289,56.09,69,13.39,313,60.75,408,79.19,202,39.21
2022 Quarter 4,Canton,POINT (-72.89936 41.82742),CT,9,0.89,784,77.75,88,8.73,877,86.98,878,87.08,878,87.08
2024 Quarter 3,Ansonia,POINT (-73.07875 41.34319),CT,85,4.47,2354,123.84,519,27.3,1588,83.54,1488,78.28,1095,57.61
2024 Quarter 1,Morris,POINT (-73.20025 41.68339),CT,3,1.32,229,101.01,30,13.23,244,107.63,140,61.76,132,58.23
2022 Quarter 4,West Haven,POINT (-72.94998 41.27228),CT,97,1.75,5725,103.54,1181,21.36,4878,88.22,2856,51.65,2856,51.65
2022 Quarter 4,East Haddam,POINT (-72.46388 41.45985),CT,13,1.45,1002,111.77,204,22.76,915,102.06,845,94.26,845,94.26
2023 Quarter 1,Ridgefield,POINT (-73.49866 41.2845),CT,9,0.36,1403,56.1,91,3.64,2023,80.88,2661,106.39,888,35.5
2023 Quarter 2,Middlebury,POINT (-73.12099 41.5278),CT,4,0.52,640,83.29,73,9.5,711,92.53,755,98.26,369,48.02
2022 Quarter 1,Montville,POINT (-72.13662 41.45396),CT,31,1.69,2066,112.42,651,35.42,1917,104.32,1912,104.04,1186,64.54
2023 Quarter 4,Seymour,POINT (-73.08051 41.39761),CT,32,1.9,2074,123.39,376,22.37,1514,90.07,1504,89.48,1052,62.59
2022 Quarter 2,Cromwell,POINT (-72.6535 41.61653),CT,15,1.06,1496,105.33,241,16.97,1791,126.1,1209,85.12,761,53.58
2023 Quarter 4,Bristol,POINT (-72.94661 41.67574),CT,113,1.84,7062,115.15,1853,30.21,6479,105.64,4763,77.66,4216,68.74
2025 Quarter 1,Stonington,POINT (-71.90642 41.33592),CT,18,0.98,1982,107.54,383,20.78,2416,131.08,2896,157.13,1523,82.63
2023 Quarter 3,Thomaston,POINT (-73.07407 41.67348),CT,4,0.54,895,119.84,206,27.58,848,113.55,610,81.68,475,63.6
2023 Quarter 1,Montville,POINT (-72.13662 41.45396),CT,34,1.84,1884,101.96,628,33.99,1845,99.85,1857,100.5,1281,69.33
2025 Quarter 1,New Fairfield,POINT (-73.48605 41.46578),CT,9,0.67,1032,76.52,99,7.34,1013,75.11,1377,102.1,651,48.27
2023 Quarter 1,Stamford,POINT (-73.54222 41.05195),CT,63,0.46,6311,46.3,753,5.52,8704,63.85,7962,58.41,4462,32.73
2023 Quarter 4,Westbrook,POINT (-72.44255 41.28353),CT,7,1.02,689,100.44,180,26.24,939,136.88,850,123.91,480,69.97
2022 Quarter 3,East Lyme,POINT (-72.22334 41.36844),CT,23,1.22,1753,93,380,20.16,2345,124.41,2074,110.03,1288,68.33
2025 Quarter 1,Burlington,POINT (-72.96183 41.76759),CT,4,0.41,694,71.21,100,10.26,768,78.8,938,96.24,425,43.61
2024 Quarter 1,Rocky Hill,POINT (-72.63901 41.66857),CT,21,1.01,1493,72.08,288,13.9,1911,92.27,1522,73.48,929,44.85
2024 Quarter 4,Greenwich,POINT (-73.63981 41.06425),CT,22,0.35,2537,39.91,366,5.76,5172,81.35,7336,115.39,2081,32.73
2024 Quarter 3,Brooklyn,POINT (-71.94964 41.78716),CT,9,1.05,808,93.82,199,23.11,766,88.95,815,94.64,570,66.19
2025 Quarter 1,Harwinton,POINT (-73.06991 41.76965),CT,1,0.18,533,94.98,92,16.39,500,89.09,521,92.84,339,60.41
2024 Quarter 3,New London,POINT (-72.09624 41.35651),CT,99,3.59,2949,107,1548,56.17,2532,91.87,2569,93.21,2282,82.8
2022 Quarter 2,Farmington,POINT (-72.83774 41.71291),CT,13,0.49,1941,72.77,254,9.52,2200,82.48,1890,70.86,1192,44.69
2022 Quarter 3,Colebrook,POINT (-73.11155 42.0129),CT,2,1.47,145,106.85,16,11.79,133,98.01,82,60.43,104,76.64
2023 Quarter 4,Somers,POINT (-72.44013 41.98825),CT,5,0.51,843,85.64,177,17.98,906,92.05,797,80.97,976,99.16
2022 Quarter 4,Colchester,POINT (-72.32694 41.5749),CT,22,1.42,1949,125.73,415,26.77,1890,121.93,1604,103.48,1604,103.48
2022 Quarter 1,Norwalk,POINT (-73.40765 41.11366),CT,45,0.49,5512,60.44,675,7.4,6183,67.8,5169,56.68,3350,36.73
2025 Quarter 1,Granby,POINT (-72.78526 41.95258),CT,4,0.36,903,80.27,97,8.62,839,74.58,1044,92.81,639,56.81
2023 Quarter 3,Glastonbury,POINT (-72.60499 41.71227),CT,17,0.48,1997,56.73,285,8.1,2973,84.46,3289,93.44,1457,41.39
2024 Quarter 3,Easton,POINT (-73.30322 41.25238),CT,10,1.31,1015,132.92,206,26.98,1239,162.26,1327,173.78,599,78.44
2024 Quarter 3,Marlborough,POINT (-72.45984 41.63149),CT,6,0.98,708,115.95,70,11.46,638,104.49,646,105.8,327,53.55
2023 Quarter 1,East Granby,POINT (-72.7294 41.94359),CT,0,0,428,82.63,56,10.81,450,86.87,452,87.26,261,50.39
2024 Quarter 4,Bethlehem,POINT (-73.20126 41.63979),CT,1,0.29,405,118.39,55,16.08,326,95.29,259,75.71,75,21.92
2025 Quarter 1,Danbury,POINT (-73.45359 41.39268),CT,173,2.01,5131,59.58,952,11.05,4753,55.19,5493,63.78,3186,36.99
2024 Quarter 4,Tolland,POINT (-72.37401 41.87454),CT,9,0.62,1183,81.17,124,8.51,1171,80.35,1368,93.87,748,51.32
2024 Quarter 2,Putnam,POINT (-71.90959 41.91616),CT,17,1.83,948,101.91,231,24.83,896,96.32,1054,113.31,747,80.31
2023 Quarter 3,Danbury,POINT (-73.45359 41.39268),CT,129,1.48,5859,67.37,730,8.39,4943,56.84,5095,58.59,3221,37.04
2024 Quarter 3,East Hampton,POINT (-72.50529 41.57999),CT,13,1,1226,94.39,241,18.55,1312,101.01,1336,102.86,783,60.28
2023 Quarter 1,Scotland,POINT (-72.08296 41.69848),CT,1,0.64,62,39.54,15,9.57,67,42.73,46,29.34,45,28.7
2023 Quarter 3,East Lyme,POINT (-72.22334 41.36844),CT,29,1.54,1575,83.83,341,18.15,2188,116.46,2275,121.09,1427,75.95
2023 Quarter 3,Washington,POINT (-73.31101 41.63097),CT,1,0.27,292,79.65,10,2.73,279,76.1,251,68.47,143,39.01
2023 Quarter 4,New Hartford,POINT (-72.98018 41.87938),CT,4,0.6,644,96.15,127,18.96,670,100.03,638,95.25,394,58.82
2022 Quarter 2,Wolcott,POINT (-72.98422 41.57883),CT,15,0.93,1811,112.37,315,19.54,1992,123.6,1271,78.86,954,59.19
2024 Quarter 1,Deep River,POINT (-72.43506 41.3833),CT,4,0.9,461,103.71,95,21.37,593,133.41,534,120.13,306,68.84
2024 Quarter 4,East Hartford,POINT (-72.64401 41.76897),CT,72,1.42,4174,82.4,920,18.16,3172,62.62,2476,48.88,3059,60.39
2024 Quarter 3,Danbury,POINT (-73.45359 41.39268),CT,185,2.15,5477,63.59,995,11.55,4851,56.33,5431,63.06,3223,37.42
2023 Quarter 2,Harwinton,POINT (-73.06991 41.76965),CT,3,0.54,576,104.58,97,17.61,564,102.4,471,85.51,316,57.37
2023 Quarter 2,Portland,POINT (-72.63703 41.57771),CT,53,5.6,885,93.53,275,29.06,1057,111.71,1012,106.95,618,65.31
2023 Quarter 4,East  Hampton,POINT (-72.50529 41.57999),CT,14,1.08,1215,93.75,232,17.9,1248,96.3,1196,92.28,629,48.53
2023 Quarter 2,Essex,POINT (-72.39087 41.35324),CT,7,1.04,460,68.06,153,22.64,751,111.11,515,76.19,402,59.48
2023 Quarter 1,Lebanon,POINT (-72.20098 41.64541),CT,49,6.89,830,116.77,231,32.5,686,96.51,579,81.46,563,79.21
