report_period,town,prescription_count,rate_per_1000
2022 Quarter 4,South Windsor,1857,69.38
2022 Quarter 4,Southbury,1493,75.42
2022 Quarter 4,Southington,3373,77.54
2022 Quarter 4,Sprague,299,101.36
2022 Quarter 4,Stafford,917,80.35
2022 Quarter 4,Stamford,8102,59.44
2022 Quarter 4,Sterling,322,90.02
2022 Quarter 4,Stonington,2609,141.59
2022 Quarter 4,Stratford,3358,64.25
2022 Quarter 4,Suffield,1154,72.75
2022 Quarter 4,Thomaston,593,79.57
2022 Quarter 4,Thompson,616,66.77
2022 Quarter 4,Tolland,1182,81.46
2022 Quarter 4,Torrington,3037,85.9
2022 Quarter 4,Trumbull,3153,85.33
2022 Quarter 4,Union,23,29.45
2022 Quarter 4,Vernon,2240,73.86
2022 Quarter 4,Voluntown,251,98.28
2022 Quarter 4,Wallingford,3678,83.22
2022 Quarter 4,Warren,98,72.65
2022 Quarter 4,Washington,252,69.36
2022 Quarter 4,Waterbury,5244,46.08
2022 Quarter 4,Waterford,2346,119.98
2022 Quarter 4,Watertown,1531,69.24
2022 Quarter 4,West Hartford,5913,92.43
2022 Quarter 4,West Haven,2856,51.65
2022 Quarter 4,Westbrook,716,105.14
2022 Quarter 4,Weston,1460,141.25
2022 Quarter 4,Westport,3573,130.98
2022 Quarter 4,Wethersfield,2004,73.88
2022 Quarter 4,Willington,462,83.57
2022 Quarter 4,Wilton,1978,107.15
2022 Quarter 4,Winchester,867,84.86
2022 Quarter 4,Windham,1591,65.31
2022 Quarter 4,Windsor,1750,59.57
2022 Quarter 4,Windsor Locks,882,70.39
2022 Quarter 4,Wolcott,1276,78.96
2022 Quarter 4,Woodbridge,905,100.06
2022 Quarter 4,Woodbury,840,86.06
2022 Quarter 4,Woodstock,629,76.51
2023 Quarter 1,Andover,231,73.73
2023 Quarter 1,Ansonia,1346,71.54
2023 Quarter 1,Ashford,350,83.61
2023 Quarter 1,Avon,1605,85.15
2023 Quarter 1,Barkhamsted,281,77.05
2023 Quarter 1,Beacon Falls,545,90.34
2023 Quarter 1,Berlin,1473,73.24
2023 Quarter 1,Bethany,523,98.9
2023 Quarter 1,Bethel,1991,96.95
2023 Quarter 1,Bethlehem,243,71.77
2023 Quarter 1,Bloomfield,858,39.94
2023 Quarter 1,Bolton,376,78.02
2023 Quarter 1,Bozrah,262,108.4
2023 Quarter 1,Branford,2999,106.44
2023 Quarter 1,Bridgeport,4099,27.63
2023 Quarter 1,Bridgewater,121,72.98
2023 Quarter 1,Bristol,4605,75.91
2023 Quarter 1,Brookfield,1815,103.82
2023 Quarter 1,Brooklyn,768,90.48
2023 Quarter 1,Burlington,791,82.47
2023 Quarter 1,Canaan,263,243.97
2023 Quarter 1,Canterbury,445,87.94
2023 Quarter 1,Canton,846,83.9
2023 Quarter 1,Chaplin,193,90.06
2023 Quarter 1,Cheshire,2307,80.59
2023 Quarter 1,Chester,295,78.62
2023 Quarter 1,Clinton,1449,108.13
2023 Quarter 1,Colchester,1622,104.64
2023 Quarter 1,Colebrook,99,72.96
2023 Quarter 1,Columbia,511,97.41
2023 Quarter 1,Cornwall,125,79.57
2023 Quarter 1,Coventry,1013,83.0
2023 Quarter 1,Cromwell,1162,81.25
2023 Quarter 1,Danbury,5116,58.97
2023 Quarter 1,Darien,2535,117.91
2023 Quarter 1,Deep River,522,116.99
2023 Quarter 1,Derby,943,76.83
2023 Quarter 1,Durham,572,79.1
2023 Quarter 1,East  Hampton,1160,90.1
2023 Quarter 1,East Granby,452,87.26
2023 Quarter 1,East Haddam,852,95.04
2023 Quarter 1,East Hartford,2031,40.03
2023 Quarter 1,East Haven,2129,76.57
2023 Quarter 1,East Lyme,2036,108.02
2023 Quarter 1,East Windsor,285,25.54
2023 Quarter 1,Eastford,116,69.88
2023 Quarter 1,Easton,1191,156.83
2023 Quarter 1,Ellington,1129,67.89
2023 Quarter 1,Enfield,3112,74.04
2023 Quarter 1,Essex,488,72.2
2023 Quarter 1,Fairfield,6049,97.64
2023 Quarter 1,Farmington,2003,75.17
2023 Quarter 1,Franklin,168,90.23
2023 Quarter 1,Glastonbury,3148,89.8
2023 Quarter 1,Goshen,207,65.4
2023 Quarter 1,Granby,852,77.79
2023 Quarter 1,Greenwich,6600,103.91
2023 Quarter 1,Griswold,1476,129.39
2023 Quarter 1,Groton,2568,66.78
2023 Quarter 1,Guilford,2332,105.85
2023 Quarter 1,Haddam,761,89.22
2023 Quarter 1,Hamden,3324,54.56
2023 Quarter 1,Hampton,161,93.17
2023 Quarter 1,Hartford,3830,31.76
2023 Quarter 1,Hartland,130,68.75
2023 Quarter 1,Harwinton,443,80.43
2023 Quarter 1,Hebron,864,95.3
2023 Quarter 1,Kent,223,74.73
2023 Quarter 1,Killingly,1678,94.58
2023 Quarter 1,Killingworth,582,92.85
2023 Quarter 1,Lebanon,579,81.46
2023 Quarter 1,Ledyard,1770,115.41
2023 Quarter 1,Lisbon,339,80.75
2023 Quarter 1,Litchfield,753,92.17
2023 Quarter 1,Lyme,123,52.47
2023 Quarter 1,Madison,2133,121.06
2023 Quarter 1,Manchester,4010,67.48
2023 Quarter 1,Mansfield,1045,39.65
2023 Quarter 1,Marlborough,590,96.83
2023 Quarter 1,Meriden,4038,66.73
2023 Quarter 1,Middlebury,774,100.73
2023 Quarter 1,Middlefield,390,91.25
2023 Quarter 1,Middletown,3719,78.95
2023 Quarter 1,Milford,4435,84.65
2023 Quarter 1,Monroe,1648,87.83
2023 Quarter 1,Montville,1857,100.5
2023 Quarter 1,Morris,157,69.5
2023 Quarter 1,Naugatuck,2056,65.41
2023 Quarter 1,New Britain,3452,46.75
2023 Quarter 1,New Canaan,2658,128.21
2023 Quarter 1,New Fairfield,1186,87.56
2023 Quarter 1,New Hartford,584,87.58
2023 Quarter 1,New Haven,6395,47.34
2023 Quarter 1,New London,2173,78.63
2023 Quarter 1,New Milford,2494,88.5
2023 Quarter 1,Newington,2113,69.59
2023 Quarter 1,Newtown,2747,99.81
2023 Quarter 1,Norfolk,97,61.12
2023 Quarter 1,North Branford,1273,94.31
2023 Quarter 1,North Canaan,18,5.65
2023 Quarter 1,North Haven,2242,92.76
2023 Quarter 1,North Stonington,466,90.71
2023 Quarter 1,Norwalk,5581,61.2
2023 Quarter 1,Norwich,3660,91.47
2023 Quarter 1,Old Lyme,876,115.61
2023 Quarter 1,Old Saybrook,1134,107.36
2023 Quarter 1,Orange,1092,76.65
2023 Quarter 1,Oxford,1135,88.89
2023 Quarter 1,Plainfield,1408,94.12
2023 Quarter 1,Plainville,1390,79.68
2023 Quarter 1,Plymouth,930,79.77
2023 Quarter 1,Pomfret,439,102.79
2023 Quarter 1,Portland,913,96.49
2023 Quarter 1,Preston,554,115.37
2023 Quarter 1,Prospect,738,78.98
2023 Quarter 1,Putnam,972,105.34
2023 Quarter 1,Redding,892,102.12
2023 Quarter 1,Ridgefield,2661,106.39
2023 Quarter 1,Rocky Hill,1368,65.94
2023 Quarter 1,Roxbury,153,67.43
2023 Quarter 1,Salem,433,103.1
2023 Quarter 1,Salisbury,315,76.61
2023 Quarter 1,Scotland,46,29.34
2023 Quarter 1,Seymour,1464,87.78
2023 Quarter 1,Sharon,177,66.17
2023 Quarter 1,Shelton,3116,75.13
2023 Quarter 1,Sherman,327,92.87
2023 Quarter 1,Simsbury,2361,95.17
2023 Quarter 1,Somers,795,77.34
2023 Quarter 1,South Windsor,1871,69.9
2023 Quarter 1,Southbury,1536,77.59
2023 Quarter 1,Southington,3365,77.36
2023 Quarter 1,Sprague,287,97.29
2023 Quarter 1,Stafford,878,76.94
2023 Quarter 1,Stamford,7962,58.41
2023 Quarter 1,Sterling,333,93.09
2023 Quarter 1,Stonington,2536,137.62
2023 Quarter 1,Stratford,3281,62.77
2023 Quarter 1,Suffield,1089,68.65
2023 Quarter 1,Thomaston,563,75.54
2023 Quarter 1,Thompson,659,71.43
2023 Quarter 1,Tolland,1165,80.28
2023 Quarter 1,Torrington,3033,85.78
2023 Quarter 1,Trumbull,3090,83.63
2023 Quarter 1,Union,38,48.66
2023 Quarter 1,Vernon,2281,75.22
2023 Quarter 1,Voluntown,257,100.63
2023 Quarter 1,Wallingford,3804,86.08
2023 Quarter 1,Warren,112,83.02
2023 Quarter 1,Washington,275,75.7
2023 Quarter 1,Waterbury,5277,46.37
2023 Quarter 1,Waterford,2343,119.83
2023 Quarter 1,Watertown,1479,66.89
2023 Quarter 1,West Hartford,5977,93.43
2023 Quarter 1,West Haven,2782,50.31
2023 Quarter 1,Westbrook,752,110.43
2023 Quarter 1,Weston,1471,142.32
2023 Quarter 1,Westport,3517,128.93
2023 Quarter 1,Wethersfield,2037,75.1
2023 Quarter 1,Willington,476,86.11
2023 Quarter 1,Wilton,1829,99.08
2023 Quarter 1,Winchester,885,86.62
2023 Quarter 1,Windham,1612,66.17
2023 Quarter 1,Windsor,1677,57.09
2023 Quarter 1,Windsor Locks,882,70.39
2023 Quarter 1,Wolcott,1309,81.0
2023 Quarter 1,Woodbridge,888,98.18
2023 Quarter 1,Woodbury,775,79.4
2023 Quarter 1,Woodstock,636,77.36
2023 Quarter 2,Andover,234,74.69
2023 Quarter 2,Ansonia,1387,73.72
2023 Quarter 2,Ashford,395,94.36
2023 Quarter 2,Avon,1652,87.65
2023 Quarter 2,Barkhamsted,301,82.53
2023 Quarter 2,Beacon Falls,560,92.82
2023 Quarter 2,Berlin,1580,78.56
2023 Quarter 2,Bethany,577,109.11
2023 Quarter 2,Bethel,2112,102.84
2023 Quarter 2,Bethlehem,233,68.81
2023 Quarter 2,Bloomfield,858,39.94
2023 Quarter 2,Bolton,407,84.46
2023 Quarter 2,Bozrah,260,107.57
2023 Quarter 2,Branford,3083,109.42
2023 Quarter 2,Bridgeport,4367,29.44
2023 Quarter 2,Bridgewater,149,89.87
2023 Quarter 2,Bristol,4779,78.78
2023 Quarter 2,Brookfield,1810,103.54
2023 Quarter 2,Brooklyn,785,92.48
2023 Quarter 2,Burlington,846,88.21
2023 Quarter 2,Canaan,279,258.81
2023 Quarter 2,Canterbury,445,87.94
2023 Quarter 2,Canton,894,88.66
2023 Quarter 2,Chaplin,214,99.86
2023 Quarter 2,Cheshire,2396,83.69
2023 Quarter 2,Chester,324,86.35
2023 Quarter 2,Clinton,1515,113.06
2023 Quarter 2,Colchester,1643,105.99
2023 Quarter 2,Colebrook,93,68.53
2023 Quarter 2,Columbia,511,97.41
2023 Quarter 2,Cornwall,122,77.66
2023 Quarter 2,Coventry,1102,90.29
2023 Quarter 2,Cromwell,1210,84.6
2023 Quarter 2,Danbury,5261,60.64
2023 Quarter 2,Darien,2620,121.86
2023 Quarter 2,Deep River,535,119.9
2023 Quarter 2,Derby,956,77.89
2023 Quarter 2,Durham,617,85.33
2023 Quarter 2,East  Hampton,1222,94.92
2023 Quarter 2,East Granby,499,96.33
2023 Quarter 2,East Haddam,772,86.11
2023 Quarter 2,East Hartford,2119,41.77
2023 Quarter 2,East Haven,2342,84.23
2023 Quarter 2,East Lyme,2144,113.75
2023 Quarter 2,East Windsor,347,31.09
2023 Quarter 2,Eastford,132,79.52
2023 Quarter 2,Easton,1254,165.13
2023 Quarter 2,Ellington,1162,69.87
2023 Quarter 2,Enfield,3091,73.54
2023 Quarter 2,Essex,515,76.19
2023 Quarter 2,Fairfield,6414,103.54
2023 Quarter 2,Farmington,2062,77.39
2023 Quarter 2,Franklin,185,99.36
2023 Quarter 2,Glastonbury,3263,93.08
2023 Quarter 2,Goshen,234,73.93
2023 Quarter 2,Granby,843,76.97
2023 Quarter 2,Greenwich,6736,106.06
2023 Quarter 2,Griswold,1534,134.48
2023 Quarter 2,Groton,2730,70.99
2023 Quarter 2,Guilford,2408,109.3
2023 Quarter 2,Haddam,839,98.37
2023 Quarter 2,Hamden,3510,57.61
2023 Quarter 2,Hampton,181,104.75
2023 Quarter 2,Hartford,3841,31.86
2023 Quarter 2,Hartland,150,79.32
2023 Quarter 2,Harwinton,471,85.51
2023 Quarter 2,Hebron,889,98.06
2023 Quarter 2,Kent,237,79.42
2023 Quarter 2,Killingly,1652,93.11
2023 Quarter 2,Killingworth,646,103.06
2023 Quarter 2,Lebanon,616,86.66
2023 Quarter 2,Ledyard,1839,119.91
2023 Quarter 2,Lisbon,332,79.09
2023 Quarter 2,Litchfield,662,81.03
2023 Quarter 2,Lyme,121,51.62
2023 Quarter 2,Madison,2199,124.81
2023 Quarter 2,Manchester,4034,67.88
2023 Quarter 2,Mansfield,1040,39.46
2023 Quarter 2,Marlborough,601,98.64
2023 Quarter 2,Meriden,4098,67.72
2023 Quarter 2,Middlebury,755,98.26
2023 Quarter 2,Middlefield,377,88.21
2023 Quarter 2,Middletown,3902,82.83
2023 Quarter 2,Milford,4608,87.96
2023 Quarter 2,Monroe,1739,92.68
2023 Quarter 2,Montville,2020,109.32
2023 Quarter 2,Morris,141,62.42
2023 Quarter 2,Naugatuck,2105,66.97
2023 Quarter 2,New Britain,3545,48.01
2023 Quarter 2,New Canaan,2759,133.08
2023 Quarter 2,New Fairfield,1263,93.24
2023 Quarter 2,New Hartford,620,92.98
2023 Quarter 2,New Haven,6639,49.15
2023 Quarter 2,New London,2296,83.08
2023 Quarter 2,New Milford,2651,94.07
2023 Quarter 2,Newington,2364,77.85
2023 Quarter 2,Newtown,2945,107.01
2023 Quarter 2,Norfolk,99,62.38
2023 Quarter 2,North Branford,1361,100.83
2023 Quarter 2,North Canaan,14,4.4
2023 Quarter 2,North Haven,2235,92.47
2023 Quarter 2,North Stonington,486,94.61
2023 Quarter 2,Norwalk,5835,63.98
2023 Quarter 2,Norwich,3949,98.69
2023 Quarter 2,Old Lyme,967,127.62
2023 Quarter 2,Old Saybrook,1171,110.86
2023 Quarter 2,Orange,1108,77.78
2023 Quarter 2,Oxford,1114,87.25
2023 Quarter 2,Plainfield,1491,99.67
2023 Quarter 2,Plainville,1464,83.92
2023 Quarter 2,Plymouth,1024,87.83
2023 Quarter 2,Pomfret,384,89.91
2023 Quarter 2,Portland,1012,106.95
2023 Quarter 2,Preston,587,122.24
2023 Quarter 2,Prospect,740,79.2
2023 Quarter 2,Putnam,968,104.91
2023 Quarter 2,Redding,912,104.41
2023 Quarter 2,Ridgefield,2766,110.59
2023 Quarter 2,Rocky Hill,1474,71.05
2023 Quarter 2,Roxbury,169,74.48
2023 Quarter 2,Salem,416,99.05
2023 Quarter 2,Salisbury,285,69.31
2023 Quarter 2,Scotland,45,28.7
2023 Quarter 2,Seymour,1487,89.15
2023 Quarter 2,Sharon,194,72.52
2023 Quarter 2,Shelton,3328,80.24
2023 Quarter 2,Sherman,316,89.75
2023 Quarter 2,Simsbury,2506,101.02
2023 Quarter 2,Somers,747,72.67
2023 Quarter 2,South Windsor,1907,71.24
2023 Quarter 2,Southbury,1579,79.76
2023 Quarter 2,Southington,3497,80.39
2023 Quarter 2,Sprague,311,105.42
2023 Quarter 2,Stafford,925,81.06
2023 Quarter 2,Stamford,8217,60.28
2023 Quarter 2,Sterling,387,108.19
2023 Quarter 2,Stonington,2641,143.32
2023 Quarter 2,Stratford,3453,66.06
2023 Quarter 2,Suffield,1222,77.04
2023 Quarter 2,Thomaston,590,79.16
2023 Quarter 2,Thompson,676,73.27
2023 Quarter 2,Tolland,1212,83.52
2023 Quarter 2,Torrington,3093,87.48
2023 Quarter 2,Trumbull,3201,86.63
2023 Quarter 2,Union,43,55.06
2023 Quarter 2,Vernon,2374,78.28
2023 Quarter 2,Voluntown,257,100.63
2023 Quarter 2,Wallingford,3889,88.0
2023 Quarter 2,Warren,128,94.89
2023 Quarter 2,Washington,262,72.12
2023 Quarter 2,Waterbury,5389,47.35
2023 Quarter 2,Waterford,2361,120.75
2023 Quarter 2,Watertown,1555,70.33
2023 Quarter 2,West Hartford,6078,95.01
2023 Quarter 2,West Haven,2893,52.32
2023 Quarter 2,Westbrook,765,112.33
2023 Quarter 2,Weston,1492,144.35
2023 Quarter 2,Westport,3660,134.17
2023 Quarter 2,Wethersfield,2099,77.39
2023 Quarter 2,Willington,449,81.22
2023 Quarter 2,Wilton,1985,107.53
2023 Quarter 2,Winchester,983,96.21
2023 Quarter 2,Windham,1709,70.15
2023 Quarter 2,Windsor,1764,60.05
2023 Quarter 2,Windsor Locks,899,71.74
2023 Quarter 2,Wolcott,1351,83.6
2023 Quarter 2,Woodbridge,914,101.05
2023 Quarter 2,Woodbury,900,92.2
2023 Quarter 2,Woodstock,640,77.85
2023 Quarter 3,Andover,223,70.79
2023 Quarter 3,Ansonia,1374,72.61
2023 Quarter 3,Ashford,413,97.82
2023 Quarter 3,Avon,1744,92.42
2023 Quarter 3,Barkhamsted,291,79.36
2023 Quarter 3,Beacon Falls,564,92.07
2023 Quarter 3,Berlin,1524,75.46
2023 Quarter 3,Bethany,595,112.75
2023 Quarter 3,Bethel,2083,100.71
2023 Quarter 3,Bethlehem,257,75.39
2023 Quarter 3,Bloomfield,891,41.33
2023 Quarter 3,Bolton,360,74.47
2023 Quarter 3,Bozrah,288,119.01
2023 Quarter 3,Branford,2965,105.34
2023 Quarter 3,Bridgeport,4187,28.22
2023 Quarter 3,Bridgewater,138,83.54
2023 Quarter 3,Bristol,4856,79.18
2023 Quarter 3,Brookfield,1844,105.11
2023 Quarter 3,Brooklyn,770,90.57
2023 Quarter 3,Burlington,832,85.68
2023 Quarter 3,Canaan,262,242.37
2023 Quarter 3,Canterbury,494,96.82
2023 Quarter 3,Canton,876,86.81
2023 Quarter 3,Chaplin,235,109.0
2023 Quarter 3,Cheshire,2415,83.29
2023 Quarter 3,Chester,328,87.3
2023 Quarter 3,Clinton,1482,110.61
2023 Quarter 3,Colchester,1745,112.06
2023 Quarter 3,Colebrook,57,41.64
2023 Quarter 3,Columbia,560,106.5
2023 Quarter 3,Cornwall,124,78.83
2023 Quarter 3,Coventry,1053,85.71
2023 Quarter 3,Cromwell,1258,87.87
2023 Quarter 3,Danbury,5095,58.59
2023 Quarter 3,Darien,2647,120.72
2023 Quarter 3,Deep River,533,119.91
2023 Quarter 3,Derby,921,74.53
2023 Quarter 3,Durham,645,89.5
2023 Quarter 3,East  Hampton,1175,90.66
2023 Quarter 3,East Granby,518,99.27
2023 Quarter 3,East Haddam,828,92.52
2023 Quarter 3,East Hartford,2090,41.21
2023 Quarter 3,East Haven,2234,80.7
2023 Quarter 3,East Lyme,2275,121.09
2023 Quarter 3,East Windsor,299,26.75
2023 Quarter 3,Eastford,132,78.81
2023 Quarter 3,Easton,1220,159.9
2023 Quarter 3,Ellington,1187,69.92
2023 Quarter 3,Enfield,3241,78.58
2023 Quarter 3,Essex,504,74.19
2023 Quarter 3,Fairfield,6643,105.66
2023 Quarter 3,Farmington,2107,78.83
2023 Quarter 3,Franklin,185,98.35
2023 Quarter 3,Glastonbury,3289,93.44
2023 Quarter 3,Goshen,245,76.49
2023 Quarter 3,Granby,885,80.16
2023 Quarter 3,Greenwich,6569,103.22
2023 Quarter 3,Griswold,1573,136.68
2023 Quarter 3,Groton,2710,71.8
2023 Quarter 3,Guilford,2337,106.14
2023 Quarter 3,Haddam,806,92.96
2023 Quarter 3,Hamden,3384,55.65
2023 Quarter 3,Hampton,149,85.73
2023 Quarter 3,Hartford,3628,30.06
2023 Quarter 3,Hartland,140,73.38
2023 Quarter 3,Harwinton,449,80.73
2023 Quarter 3,Hebron,894,98.02
2023 Quarter 3,Kent,229,75.06
2023 Quarter 3,Killingly,1732,97.1
2023 Quarter 3,Killingworth,654,104.82
2023 Quarter 3,Lebanon,619,86.79
2023 Quarter 3,Ledyard,1777,114.97
2023 Quarter 3,Lisbon,352,82.98
2023 Quarter 3,Litchfield,703,84.91
2023 Quarter 3,Lyme,94,39.15
2023 Quarter 3,Madison,2204,125.48
2023 Quarter 3,Manchester,4087,68.73
2023 Quarter 3,Mansfield,1040,32.55
2023 Quarter 3,Marlborough,602,98.54
2023 Quarter 3,Meriden,4005,66.48
2023 Quarter 3,Middlebury,746,95.56
2023 Quarter 3,Middlefield,365,85.92
2023 Quarter 3,Middletown,3743,76.81
2023 Quarter 3,Milford,4535,86.09
2023 Quarter 3,Monroe,1785,94.97
2023 Quarter 3,Montville,2048,114.47
2023 Quarter 3,Morris,130,57.34
2023 Quarter 3,Naugatuck,2159,68.1
2023 Quarter 3,New Britain,3588,48.23
2023 Quarter 3,New Canaan,2755,132.61
2023 Quarter 3,New Fairfield,1244,91.9
2023 Quarter 3,New Hartford,619,92.42
2023 Quarter 3,New Haven,6408,46.13
2023 Quarter 3,New London,2362,84.42
2023 Quarter 3,New Milford,2488,87.99
2023 Quarter 3,Newington,2288,75.37
2023 Quarter 3,Newtown,2829,102.59
2023 Quarter 3,Norfolk,108,67.75
2023 Quarter 3,North Branford,1317,97.82
2023 Quarter 3,North Canaan,14,4.36
2023 Quarter 3,North Haven,2313,95.92
2023 Quarter 3,North Stonington,459,88.71
2023 Quarter 3,Norwalk,5752,62.93
2023 Quarter 3,Norwich,3898,97.43
2023 Quarter 3,Old Lyme,932,121.29
2023 Quarter 3,Old Saybrook,1208,114.67
2023 Quarter 3,Orange,1055,73.99
2023 Quarter 3,Oxford,1113,86.01
2023 Quarter 3,Plainfield,1461,96.48
2023 Quarter 3,Plainville,1554,88.91
2023 Quarter 3,Plymouth,1010,86.24
2023 Quarter 3,Pomfret,401,93.1
2023 Quarter 3,Portland,943,100.01
2023 Quarter 3,Preston,577,119.21
2023 Quarter 3,Prospect,730,77.37
2023 Quarter 3,Putnam,957,102.88
2023 Quarter 3,Redding,959,109.65
2023 Quarter 3,Ridgefield,2751,110.01
2023 Quarter 3,Rocky Hill,1460,70.49
2023 Quarter 3,Roxbury,175,76.79
2023 Quarter 3,Salem,442,102.17
2023 Quarter 3,Salisbury,276,65.11
2023 Quarter 3,Scotland,39,24.73
2023 Quarter 3,Seymour,1488,88.52
2023 Quarter 3,Sharon,209,76.73
2023 Quarter 3,Shelton,3292,78.57
2023 Quarter 3,Sherman,330,93.3
2023 Quarter 3,Simsbury,2431,97.49
2023 Quarter 3,Somers,749,76.09
2023 Quarter 3,South Windsor,1880,70.19
2023 Quarter 3,Southbury,1628,81.49
2023 Quarter 3,Southington,3490,79.77
2023 Quarter 3,Sprague,322,108.86
2023 Quarter 3,Stafford,987,86.21
2023 Quarter 3,Stamford,8242,60.52
2023 Quarter 3,Sterling,407,112.34
2023 Quarter 3,Stonington,2612,141.34
2023 Quarter 3,Stratford,3321,63.28
2023 Quarter 3,Suffield,1190,75.65
2023 Quarter 3,Thomaston,610,81.68
2023 Quarter 3,Thompson,725,77.83
2023 Quarter 3,Tolland,1157,79.37
2023 Quarter 3,Torrington,3020,84.92
2023 Quarter 3,Trumbull,3127,84.21
2023 Quarter 3,Union,38,47.92
2023 Quarter 3,Vernon,2367,77.29
2023 Quarter 3,Voluntown,268,103.4
2023 Quarter 3,Wallingford,3819,86.76
2023 Quarter 3,Warren,110,81.36
2023 Quarter 3,Washington,251,68.47
2023 Quarter 3,Waterbury,5385,46.82
2023 Quarter 3,Waterford,2426,123.76
2023 Quarter 3,Watertown,1520,68.52
2023 Quarter 3,West Hartford,6136,95.47
2023 Quarter 3,West Haven,2915,53.0
2023 Quarter 3,Westbrook,794,115.74
2023 Quarter 3,Weston,1550,149.7
2023 Quarter 3,Westport,3524,128.49
2023 Quarter 3,Wethersfield,1988,73.28
2023 Quarter 3,Willington,455,82.07
2023 Quarter 3,Wilton,2072,112.26
2023 Quarter 3,Winchester,957,93.46
2023 Quarter 3,Windham,1603,65.7
2023 Quarter 3,Windsor,1857,63.05
2023 Quarter 3,Windsor Locks,873,69.63
2023 Quarter 3,Wolcott,1356,83.76
2023 Quarter 3,Woodbridge,895,98.88
2023 Quarter 3,Woodbury,956,97.53
2023 Quarter 3,Woodstock,627,75.43
2023 Quarter 4,Andover,251,79.68
2023 Quarter 4,Ansonia,1318,69.65
2023 Quarter 4,Ashford,404,95.69
2023 Quarter 4,Avon,1802,95.49
2023 Quarter 4,Barkhamsted,321,87.54
2023 Quarter 4,Beacon Falls,574,93.7
2023 Quarter 4,Berlin,1573,77.88
2023 Quarter 4,Bethany,566,107.26
2023 Quarter 4,Bethel,2089,101.0
2023 Quarter 4,Bethlehem,247,72.46
2023 Quarter 4,Bloomfield,952,44.16
2023 Quarter 4,Bolton,378,78.2
2023 Quarter 4,Bozrah,306,126.45
2023 Quarter 4,Branford,2952,104.87
2023 Quarter 4,Bridgeport,4275,28.81
2023 Quarter 4,Bridgewater,144,87.17
2023 Quarter 4,Bristol,4763,77.66
2023 Quarter 4,Brookfield,1906,108.65
2023 Quarter 4,Brooklyn,774,91.04
2023 Quarter 4,Burlington,839,86.41
2023 Quarter 4,Canaan,270,249.77
2023 Quarter 4,Canterbury,448,87.81
2023 Quarter 4,Canton,947,93.85
2023 Quarter 4,Chaplin,232,107.61
2023 Quarter 4,Cheshire,2514,86.71
2023 Quarter 4,Chester,341,90.76
2023 Quarter 4,Clinton,1549,115.61
2023 Quarter 4,Colchester,1716,110.2
2023 Quarter 4,Colebrook,70,51.13
2023 Quarter 4,Columbia,548,104.22
2023 Quarter 4,Cornwall,129,82.01
2023 Quarter 4,Coventry,1132,92.14
2023 Quarter 4,Cromwell,1252,87.45
2023 Quarter 4,Danbury,5254,60.41
2023 Quarter 4,Darien,2750,125.42
2023 Quarter 4,Deep River,540,121.48
2023 Quarter 4,Derby,947,76.63
2023 Quarter 4,Durham,621,86.17
2023 Quarter 4,East  Hampton,1196,92.28
2023 Quarter 4,East Granby,555,106.36
2023 Quarter 4,East Haddam,858,95.88
2023 Quarter 4,East Hartford,2094,41.29
2023 Quarter 4,East Haven,2266,81.86
2023 Quarter 4,East Lyme,2314,123.16
2023 Quarter 4,East Windsor,347,31.05
2023 Quarter 4,Eastford,123,73.43
2023 Quarter 4,Easton,1240,162.52
2023 Quarter 4,Ellington,1240,73.04
2023 Quarter 4,Enfield,3442,83.45
2023 Quarter 4,Essex,598,88.03
2023 Quarter 4,Fairfield,6650,105.77
2023 Quarter 4,Farmington,2113,79.06
2023 Quarter 4,Franklin,191,101.54
2023 Quarter 4,Glastonbury,3402,96.65
2023 Quarter 4,Goshen,233,72.74
2023 Quarter 4,Granby,895,81.06
2023 Quarter 4,Greenwich,6942,109.09
2023 Quarter 4,Griswold,1631,141.72
2023 Quarter 4,Groton,2844,75.35
2023 Quarter 4,Guilford,2385,108.32
2023 Quarter 4,Haddam,834,96.19
2023 Quarter 4,Hamden,3586,58.97
2023 Quarter 4,Hampton,155,89.18
2023 Quarter 4,Hartford,3847,31.88
2023 Quarter 4,Hartland,148,77.57
2023 Quarter 4,Harwinton,470,84.5
2023 Quarter 4,Hebron,861,94.4
2023 Quarter 4,Kent,253,82.92
2023 Quarter 4,Killingly,1768,99.12
2023 Quarter 4,Killingworth,624,100.02
2023 Quarter 4,Lebanon,622,87.21
2023 Quarter 4,Ledyard,1888,122.15
2023 Quarter 4,Lisbon,390,91.94
2023 Quarter 4,Litchfield,748,90.35
2023 Quarter 4,Lyme,111,46.23
2023 Quarter 4,Madison,2232,127.07
2023 Quarter 4,Manchester,4207,70.75
2023 Quarter 4,Mansfield,1156,36.18
2023 Quarter 4,Marlborough,637,104.27
2023 Quarter 4,Meriden,4033,66.95
2023 Quarter 4,Middlebury,749,95.94
2023 Quarter 4,Middlefield,409,96.28
2023 Quarter 4,Middletown,4003,82.15
2023 Quarter 4,Milford,4718,89.56
2023 Quarter 4,Monroe,1831,97.41
2023 Quarter 4,Montville,2137,119.45
2023 Quarter 4,Morris,145,63.96
2023 Quarter 4,Naugatuck,2125,67.02
2023 Quarter 4,New Britain,3682,49.49
2023 Quarter 4,New Canaan,2764,133.04
2023 Quarter 4,New Fairfield,1286,95.01
2023 Quarter 4,New Hartford,638,95.25
