report_period,town,prescription_count,rate_per_1000
2022 Quarter 1,Vernon,1985,65.69
2022 Quarter 1,Voluntown,246,95.94
2022 Quarter 1,Wallingford,3554,80.19
2022 Quarter 1,Warren,105,77.89
2022 Quarter 1,Washington,212,58.18
2022 Quarter 1,Waterbury,5046,44.1
2022 Quarter 1,Waterford,2247,115.14
2022 Quarter 1,Watertown,1458,66.02
2022 Quarter 1,West Hartford,653,10.2
2022 Quarter 1,West Haven,5521,99.41
2022 Quarter 1,Westbrook,2737,405.06
2022 Quarter 1,Weston,1481,142.95
2022 Quarter 1,Westport,3440,126.81
2022 Quarter 1,Wethersfield,1873,68.68
2022 Quarter 1,Willington,470,84.41
2022 Quarter 1,Wilton,2017,109.23
2022 Quarter 1,Winchester,844,82.53
2022 Quarter 1,Windham,1621,66.36
2022 Quarter 1,Windsor,1627,55.32
2022 Quarter 1,Windsor Locks,838,66.55
2022 Quarter 1,Wolcott,1199,74.39
2022 Quarter 1,Woodbridge,759,83.65
2022 Quarter 1,Woodbury,760,78.26
2022 Quarter 1,Woodstock,570,69.28
2022 Quarter 2,Andover,220,69.86
2022 Quarter 2,Ansonia,1294,68.46
2022 Quarter 2,Ashford,369,88.17
2022 Quarter 2,Avon,1649,87.17
2022 Quarter 2,Barkhamsted,278,76.16
2022 Quarter 2,Beacon Falls,474,79.09
2022 Quarter 2,Berlin,1230,61.03
2022 Quarter 2,Bethany,543,102.57
2022 Quarter 2,Bethel,1879,92.42
2022 Quarter 2,Bethlehem,250,73.96
2022 Quarter 2,Bloomfield,861,40.12
2022 Quarter 2,Bolton,330,67.79
2022 Quarter 2,Bozrah,277,114.37
2022 Quarter 2,Branford,2935,104.0
2022 Quarter 2,Bridgeport,3962,26.64
2022 Quarter 2,Bridgewater,137,82.58
2022 Quarter 2,Bristol,4503,74.08
2022 Quarter 2,Brookfield,1945,111.03
2022 Quarter 2,Brooklyn,737,87.21
2022 Quarter 2,Burlington,712,74.79
2022 Quarter 2,Canaan,270,249.77
2022 Quarter 2,Canterbury,429,85.1
2022 Quarter 2,Canton,855,84.44
2022 Quarter 2,Chaplin,173,80.8
2022 Quarter 2,Cheshire,2116,73.66
2022 Quarter 2,Chester,311,83.07
2022 Quarter 2,Clinton,1404,106.57
2022 Quarter 2,Colchester,1690,108.7
2022 Quarter 2,Colebrook,95,69.85
2022 Quarter 2,Columbia,495,94.05
2022 Quarter 2,Cornwall,99,63.22
2022 Quarter 2,Coventry,1023,83.59
2022 Quarter 2,Cromwell,1209,85.12
2022 Quarter 2,Danbury,5056,58.4
2022 Quarter 2,Darien,2682,124.59
2022 Quarter 2,Deep River,507,114.91
2022 Quarter 2,Derby,925,75.04
2022 Quarter 2,Durham,536,74.95
2022 Quarter 2,East Granby,127,24.34
2022 Quarter 2,East Haddam,467,52.64
2022 Quarter 2,East Hampton,709,55.79
2022 Quarter 2,East Hartford,1148,22.5
2022 Quarter 2,East Haven,2032,72.9
2022 Quarter 2,East Lyme,2273,121.91
2022 Quarter 2,East Windsor,2162,193.61
2022 Quarter 2,Eastford,758,459.39
2022 Quarter 2,Easton,634,83.39
2022 Quarter 2,Ellington,1077,65.56
2022 Quarter 2,Enfield,3069,72.85
2022 Quarter 2,Essex,552,82.23
2022 Quarter 2,Fairfield,5962,96.99
2022 Quarter 2,Farmington,1890,70.86
2022 Quarter 2,Franklin,141,75.68
2022 Quarter 2,Glastonbury,2907,82.8
2022 Quarter 2,Goshen,249,79.1
2022 Quarter 2,Granby,910,83.56
2022 Quarter 2,Greenwich,6649,104.71
2022 Quarter 2,Griswold,1417,124.18
2022 Quarter 2,Groton,2630,68.41
2022 Quarter 2,Guilford,2324,105.42
2022 Quarter 2,Haddam,749,88.65
2022 Quarter 2,Hamden,3363,55.07
2022 Quarter 2,Hampton,203,117.41
2022 Quarter 2,Hartford,3656,30.21
2022 Quarter 2,Hartland,132,69.47
2022 Quarter 2,Harwinton,367,67.09
2022 Quarter 2,Hebron,833,91.52
2022 Quarter 2,Kent,206,68.35
2022 Quarter 2,Killingly,1713,96.57
2022 Quarter 2,Killingworth,594,96.23
2022 Quarter 2,Lebanon,621,86.95
2022 Quarter 2,Ledyard,1645,106.68
2022 Quarter 2,Lisbon,297,70.87
2022 Quarter 2,Litchfield,641,78.51
2022 Quarter 2,Lyme,101,42.94
2022 Quarter 2,Madison,2204,124.82
2022 Quarter 2,Manchester,3880,65.0
2022 Quarter 2,Mansfield,721,27.86
2022 Quarter 2,Marlborough,611,99.72
2022 Quarter 2,Meriden,3958,65.11
2022 Quarter 2,Middlebury,713,94.1
2022 Quarter 2,Middlefield,384,91.06
2022 Quarter 2,Middletown,3481,73.01
2022 Quarter 2,Milford,4391,84.52
2022 Quarter 2,Monroe,1613,85.76
2022 Quarter 2,Montville,1904,103.61
2022 Quarter 2,Morris,128,56.89
2022 Quarter 2,Naugatuck,2156,68.41
2022 Quarter 2,New Britain,3529,47.61
2022 Quarter 2,New Canaan,2667,129.43
2022 Quarter 2,New Fairfield,1289,94.99
2022 Quarter 2,New Hartford,534,80.28
2022 Quarter 2,New Haven,6419,47.88
2022 Quarter 2,New London,2271,82.96
2022 Quarter 2,New Milford,2228,79.27
2022 Quarter 2,Newington,2561,84.07
2022 Quarter 2,Newtown,2908,107.09
2022 Quarter 2,Norfolk,107,67.51
2022 Quarter 2,North Branford,19,5.94
2022 Quarter 2,North Canaan,2230,92.01
2022 Quarter 2,North Haven,408,79.19
2022 Quarter 2,North Stonington,1141,84.3
2022 Quarter 2,Norwalk,5531,60.65
2022 Quarter 2,Norwich,3520,87.67
2022 Quarter 2,Old Lyme,834,109.52
2022 Quarter 2,Old Saybrook,1152,110.32
2022 Quarter 2,Orange,1082,75.9
2022 Quarter 2,Oxford,1086,85.5
2022 Quarter 2,Plainfield,1350,90.1
2022 Quarter 2,Plainville,1362,77.76
2022 Quarter 2,Plymouth,902,77.31
2022 Quarter 2,Pomfret,388,90.87
2022 Quarter 2,Portland,881,94.01
2022 Quarter 2,Preston,499,104.31
2022 Quarter 2,Prospect,729,77.53
2022 Quarter 2,Putnam,957,103.81
2022 Quarter 2,Redding,895,102.38
2022 Quarter 2,Ridgefield,2559,102.32
2022 Quarter 2,Rocky Hill,1383,66.55
2022 Quarter 2,Roxbury,162,71.68
2022 Quarter 2,Salem,416,98.72
2022 Quarter 2,Salisbury,271,64.66
2022 Quarter 2,Scotland,45,28.55
2022 Quarter 2,Seymour,1418,84.87
2022 Quarter 2,Sharon,185,69.16
